S.No,QbId,Ref No (Payment No),Payment Date,Customer,Payment method,Deposit To Account Name,Invoice No,Journal No,QB Journal Id,QB Invoice Id,QB Credit Memo Id,Credit Memo No,Amount,Total,Reference No,Memo,Currency Code,Exchange Rate,REFERENCE_NO,TOTAL,CUSTOMER,QB_INVOICE_ID,ORIG_REFERENCE_NO,ORIG_TOTAL,ORIG_CUSTOMER,ORIG_QB_INVOICE_ID,MATCH_LEVEL,MATCHED_CRB_INDEX,MATCH_TYPE
2766,482030,,2024-05-23,EP EXECUTIVE SUITES,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,4200.0,4200.0,38580,,PHP,,38580,4200.0,EP EXECUTIVE SUITES,,38580,4200.0,EP EXECUTIVE SUITES,,,,
2767,482029,,2024-05-23,PH2O WRS,Cash,Cash and cash equivalents:Cash on Hand,,,,,,,3500.0,3500.0,38579,,PHP,,38579,3500.0,PH2O WRS,,38579,3500.0,PH2O WRS,,,,
2768,482028,,2024-05-22,CASIA WATER REFILLING STATION,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,750.0,750.0,38578,,PHP,,38578,750.0,CASIA WATER REFILLING STATION,,38578,750.0,CASIA WATER REFILLING STATION,,,,
2769,482045,,2024-05-23,NEW ROXAN HOTEL & RESTAURANT,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,4200.0,4200.0,38585,,PHP,,38585,4200.0,NEW ROXAN HOTEL & RESTAURANT,,38585,4200.0,NEW ROXAN HOTEL & RESTAURANT,,,,
2770,482044,,2024-05-23,CHANDLER SUITES,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,4200.0,4200.0,38584,,PHP,,38584,4200.0,CHANDLER SUITES,,38584,4200.0,CHANDLER SUITES,,,,
2771,482043,,2024-05-23,HOTEL ALINE,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,4200.0,4200.0,38583,,PHP,,38583,4200.0,HOTEL ALINE,,38583,4200.0,HOTEL ALINE,,,,
2772,482042,,2024-05-23,BLACK HOTEL,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,4200.0,4200.0,38582,,PHP,,38582,4200.0,BLACK HOTEL,,38582,4200.0,BLACK HOTEL,,,,
2773,482051,,2024-05-23,ATHENA'S GARDEN HOTEL,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,4200.0,4200.0,38591,,PHP,,38591,4200.0,ATHENA'S GARDEN HOTEL,,38591,4200.0,ATHENA'S GARDEN HOTEL,,,,
2774,482050,,2024-05-23,PRINCEWILL PENSION HOUSE,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,4200.0,4200.0,38590,,PHP,,38590,4200.0,PRINCEWILL PENSION HOUSE,,38590,4200.0,PRINCEWILL PENSION HOUSE,,,,
2775,482049,,2024-05-23,EZ PURIFIED,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,4200.0,4200.0,38589,,PHP,,38589,4200.0,EZ PURIFIED,,38589,4200.0,EZ PURIFIED,,,,
2776,482048,,2024-05-23,SANTIAGO MIKI FACTORY,Cash,Cash and cash equivalents:Cash on Hand,,,,,,,4200.0,4200.0,38588,,PHP,,38588,4200.0,SANTIAGO MIKI FACTORY,,38588,4200.0,SANTIAGO MIKI FACTORY,,,,
2777,482047,,2024-05-23,FOUR QUEENS RESTAURANT,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,4900.0,4900.0,38587,,PHP,,38587,4900.0,FOUR QUEENS RESTAURANT,,38587,4900.0,FOUR QUEENS RESTAURANT,,,,
2778,482046,,2024-05-23,SAM'S FASTFOOD & BAKESHOP,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,4200.0,4200.0,38586,,PHP,,38586,4200.0,SAM'S FASTFOOD & BAKESHOP,,38586,4200.0,SAM'S FASTFOOD & BAKESHOP,,,,
2779,482052,,2024-05-23,HOTEL ALINDAHAN,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,4200.0,4200.0,38592,,PHP,,38592,4200.0,HOTEL ALINDAHAN,,38592,4200.0,HOTEL ALINDAHAN,,,,
2780,482059,,2024-05-16,MOYA WRS PURIFIED,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,750.0,750.0,38651,,PHP,,38651,750.0,MOYA WRS PURIFIED,,38651,750.0,MOYA WRS PURIFIED,,,,
2781,482058,,2024-05-27,GOLDEN KIDNEY SPECIALISTS DIALYSIS CORP,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,1800.0,1800.0,38599,,PHP,,38599,1800.0,GOLDEN KIDNEY SPECIALISTS DIALYSIS CORP,,38599,1800.0,GOLDEN KIDNEY SPECIALISTS DIALYSIS CORP,,,,
2782,482057,,2024-05-24,MILKI WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,4200.0,4200.0,38598,,PHP,,38598,4200.0,MILKI WRS,,38598,4200.0,MILKI WRS,,,,
2783,482056,,2024-05-24,BARRACKS WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - CDO,,,,,,,700.0,700.0,38597,,PHP,,38597,700.0,BARRACKS WRS,,38597,700.0,BARRACKS WRS,,,,
