MATCH_LEVEL,MATCH_TYPE,CRB_NO,CRB_CLIENT_NAME,CRB_TOTAL_AMOUNT,CRB_SI_NO,CRB_DATE,SAASANT_REFERENCE_NO,SAASANT_CUSTOMER,SAASANT_TOTAL,SAASANT_QB_INVOICE_ID,SAASANT_QbId,SAASANT_Ref No (Payment No),SAASANT_Payment Date,SAASANT_Customer,SAASANT_Payment method,SAASANT_Deposit To Account Name,SAASANT_Invoice No,SAASANT_Journal No,SAASANT_QB Journal Id,SAASANT_QB Invoice Id,SAASANT_QB Credit Memo Id,SAASANT_Credit Memo No,SAASANT_Amount,SAASANT_Total,SAASANT_Reference No,SAASANT_Memo,SAASANT_Currency Code,SAASANT_Exchange Rate
1,Reference No,2780,MAYFIELD PARK RESIDENCES CONDOMINIUM CORPORATION,13600.0,369720.0,2024-05-31,2780,MAYFIELD PARK RESIDENCES CONDOMINIUM CORPORATION,13600.0,318168,335484,,2024-05-31,MAYFIELD PARK RESIDENCES CONDOMINIUM CORPORATION,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,369720,,,318168.0,,,500.0,13600.0,2780,,PHP,
1,Reference No,3040,JUMRIE WRS,550.0,373417.0,2024-05-29,3040,JUMRIE WRS,400.0,320916,335503,,2024-05-29,JUMRIE WRS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,373417,,,320916.0,,,400.0,400.0,3040,,PHP,
1,Reference No,3145,JM WATER STATION,700.0,374233.0,2024-05-29,3145,JM WATER STATION,400.0,321530,335516,,2024-05-29,JM WATER STATION,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374233,,,321530.0,,,400.0,400.0,3145,,PHP,
1,Reference No,3144,TRIPLE A,700.0,374232.0,2024-05-29,3144,TRIPLE A,400.0,321529,335515,,2024-05-29,TRIPLE A,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374232,,,321529.0,,,400.0,400.0,3144,,PHP,
1,Reference No,3143,BALAI AZINAN,700.0,374231.0,2024-05-29,3143,BALAI AZINAN,400.0,321521,335514,,2024-05-29,BALAI AZINAN,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374231,,,321521.0,,,400.0,400.0,3143,,PHP,
1,Reference No,3142,AQUA CALATRAVA,700.0,374230.0,2024-05-29,3142,AQUA CALATRAVA,400.0,321519,335513,,2024-05-29,AQUA CALATRAVA,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374230,,,321519.0,,,400.0,400.0,3142,,PHP,
1,Reference No,3147,AQUA LARIYAH WATER STATION,700.0,374235.0,2024-05-29,3147,AQUA LARIYAH WATER STATION,400.0,321532,335518,,2024-05-29,AQUA LARIYAH WATER STATION,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374235,,,321532.0,,,400.0,400.0,3147,,PHP,
1,Reference No,3146,5 BROTHERS,700.0,374234.0,2024-05-29,3146,5 BROTHERS,400.0,321531,335517,,2024-05-29,5 BROTHERS,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374234,,,321531.0,,,400.0,400.0,3146,,PHP,
1,Reference No,3150,LA CREW GASTRO HUB L-3,4700.0,374238.0,2024-05-29,3150,LA CREW GASTRO HUB L-3,2400.0,321535,335521,,2024-05-29,LA CREW GASTRO HUB L-3,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374238,,,321535.0,,,2400.0,2400.0,3150,,PHP,
1,Reference No,3149,AQUA CARE REFILLING STATION,4700.0,374237.0,2024-05-29,3149,AQUA CARE REFILLING STATION,2400.0,321534,335520,,2024-05-29,AQUA CARE REFILLING STATION,Cash,Cash and cash equivalents:Cash on Hand:Cash on Hand - Main,374237,,,321534.0,,,2400.0,2400.0,3149,,PHP,
